dropped_isolate,n,tp,tn,fp,fn,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy
SHZY22,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY23,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY24,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY26,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY27,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY28,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY29,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY30,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY31,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY32,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY33,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY34,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY35,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY36,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY37,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY38,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY39,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY40,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY41,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY42,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY43,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY44,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY45,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY46,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY47,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY48,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY49,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY50,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY51,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY52,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY53,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY54,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY55,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY57,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY59,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY60,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
