stratum_type,stratum,dataset_id,antibiotic,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,false_susceptible_rate_ci_low,false_susceptible_rate_ci_high,false_resistant_rate_ci_low,false_resistant_rate_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,mcc_bootstrap_low,mcc_bootstrap_high,auroc_binary_score_bootstrap_low,auroc_binary_score_bootstrap_high,auprc_binary_score_bootstrap_low,auprc_binary_score_bootstrap_high,brier_binary_score_bootstrap_low,brier_binary_score_bootstrap_high
COUNTRY,BRA,MULTI_COHORT,levofloxacin,12,4,8,4,8,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3976353643835253,1.0,0.6305833524471807,1.0,0.0,0.6023646356164746,0.0,0.3694166475528192,0.3976353643835253,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,CHI,MULTI_COHORT,clarithromycin,30,3,27,3,27,0,0,0.1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2924017738212866,1.0,0.8722971323845676,1.0,0.0,0.7075982261787133,0.0,0.12770286761543234,0.2924017738212866,1.0,0.8722971323845676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,CHI,MULTI_COHORT,levofloxacin,30,8,22,8,22,0,0,0.26666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6305833524471807,1.0,0.8456274871844254,1.0,0.0,0.3694166475528192,0.0,0.15437251281557457,0.6305833524471807,1.0,0.8456274871844254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,CHN,MULTI_COHORT,levofloxacin,6,1,5,1,5,0,0,0.16666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.4781762498950185,1.0,0.0,0.975,0.0,0.5218237501049814,0.025,1.0,0.4781762498950185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,COL,MULTI_COHORT,levofloxacin,4,2,2,2,2,0,0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.15811388300841897,1.0,0.0,0.841886116991581,0.0,0.841886116991581,0.15811388300841897,1.0,0.15811388300841897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,CRI,MULTI_COHORT,levofloxacin,5,1,4,1,4,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.3976353643835253,1.0,0.0,0.975,0.0,0.6023646356164746,0.025,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,China,MULTI_COHORT,clarithromycin,50,22,28,20,27,1,2,0.44,0.9090909090909092,0.9642857142857144,0.0909090909090909,0.03571428571428571,0.9366883116883117,0.8783816879813642,0.9523809523809523,0.9310344827586207,0.9366883116883117,0.9058008658008657,0.06,0.7083872584460664,0.988794413975849,0.8165224024553763,0.999096201244342,0.011205586024150994,0.29161274155393346,0.0009037987556580578,0.18347759754462362,0.761840090063179,0.9987951165516364,0.7723381100555138,0.9915360377469982,0.8576351147342994,1.0,0.7259481311824202,1.0,0.8576351147342994,1.0,0.7752733718487396,1.0,0.0,0.14
COUNTRY,China,MULTI_COHORT,levofloxacin,96,44,52,26,44,8,18,0.4583333333333333,0.5909090909090909,0.8461538461538461,0.4090909090909091,0.15384615384615385,0.7185314685314685,0.45534092627175043,0.7647058823529411,0.7096774193548387,0.7185314685314685,0.6393716577540106,0.2708333333333333,0.432496427252171,0.7366205749186963,0.7191889159367086,0.9311607656216909,0.26337942508130363,0.5675035727478288,0.0688392343783091,0.28081108406329136,0.5882921580928333,0.8925381842249919,0.5805097990433541,0.8180059641321282,0.628819290465632,0.8059468367306235,0.2727873108622576,0.6297812684196404,0.628819290465632,0.8059468367306235,0.5041530151946818,0.7657388348714568,0.17708333333333334,0.3645833333333333
COUNTRY,FRA,MULTI_COHORT,clarithromycin,21,5,16,5,16,0,0,0.23809523809523808,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4781762498950185,1.0,0.7940927857921772,1.0,0.0,0.5218237501049814,0.0,0.2059072142078227,0.4781762498950185,1.0,0.7940927857921772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,FRA,MULTI_COHORT,levofloxacin,21,2,19,2,19,0,0,0.09523809523809523,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.8235330881930346,1.0,0.0,0.841886116991581,0.0,0.17646691180696536,0.15811388300841897,1.0,0.8235330881930346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,GER,MULTI_COHORT,clarithromycin,10,2,8,2,8,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.6305833524471807,1.0,0.0,0.841886116991581,0.0,0.3694166475528192,0.15811388300841897,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,GER,MULTI_COHORT,levofloxacin,10,3,7,3,7,0,0,0.3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2924017738212866,1.0,0.5903836027749966,1.0,0.0,0.7075982261787133,0.0,0.40961639722500337,0.2924017738212866,1.0,0.5903836027749966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,GRE,MULTI_COHORT,clarithromycin,10,2,8,2,8,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.6305833524471807,1.0,0.0,0.841886116991581,0.0,0.3694166475528192,0.15811388300841897,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,GRE,MULTI_COHORT,levofloxacin,10,4,6,4,6,0,0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3976353643835253,1.0,0.5407418735600995,1.0,0.0,0.6023646356164746,0.0,0.45925812643990044,0.3976353643835253,1.0,0.5407418735600995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,GTM,MULTI_COHORT,levofloxacin,2,1,1,1,1,0,0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.025,1.0,0.0,0.975,0.0,0.975,0.025,1.0,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
