negative_control,antibiotic,model,split_type,fold,n_train,n_test,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,auroc_probability,auprc_probability,brier_probability,calibration_intercept,calibration_slope
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__087,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.453804347826087,0.3946886446886447,0.259893235237389,-1.5959876989300357,-1.4465212107206677
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,88,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.5469576719576719,0.35779647017909927,0.21751756442134196,0.019867551354372563,1.0127877735692326
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__088,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.5160098522167488,0.5192147034252298,0.2728389526720637,4.657259675049433,6.7860570672989455
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__088,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4701086956521739,0.40570859320859326,0.24942227646415568,-6.646491395170093,-9.03983408831928
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,89,331,83,83,27,56,0,54,2,27,0.3253012048192771,0.0,0.9642857142857143,1.0,0.03571428571428571,0.48214285714285715,-0.10910894511799618,0.0,0.6666666666666666,0.48214285714285715,0.3253012048192771,0.3493975903614458,0.5591931216931216,0.3814753448807492,0.22192462824338624,-0.4835909813512437,0.3018935018165663
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__089,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.477832512315271,0.4868238216339167,0.2786737836603923,-0.27871359653028405,-0.43022274557716533
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__089,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4782608695652174,0.414994014994015,0.2521803546122956,-0.4532819509729571,-0.15515575850054378
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,90,331,83,83,27,56,0,55,1,27,0.3253012048192771,0.0,0.9821428571428571,1.0,0.017857142857142856,0.49107142857142855,-0.07667979486648716,0.0,0.6707317073170732,0.49107142857142855,0.3253012048192771,0.3373493975903614,0.451058201058201,0.316647542551157,0.22663145353731093,-1.2702533682268744,-0.7057834912927251
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__090,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.5197044334975369,0.5321160042964554,0.2734382938654377,0.7540194941192698,1.098142186606124
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__090,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.6888586956521738,0.5429359243697479,0.2350960111295345,2.0047677275348277,3.5060421594430755
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,91,331,83,83,27,56,2,55,1,25,0.3253012048192771,0.07407407407407407,0.9821428571428571,0.9259259259259259,0.017857142857142856,0.5281084656084656,0.14110337749086593,0.6666666666666666,0.6875,0.5281084656084656,0.3505875353264911,0.3132530120481928,0.4914021164021164,0.35533451741257643,0.21991800375610818,-0.38038967897815174,0.4723487979604957
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__091,414,57,57,28,29,2,28,1,26,0.49122807017543857,0.07142857142857142,0.9655172413793104,0.9285714285714286,0.034482758620689655,0.518472906403941,0.08271527783091086,0.6666666666666666,0.5185185185185185,0.518472906403941,0.5037593984962405,0.47368421052631576,0.3983990147783251,0.48912178507766746,0.2719609013830182,-0.1682944653068203,-0.25629942510767717
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__091,414,39,39,16,23,0,22,1,16,0.41025641025641024,0.0,0.9565217391304348,1.0,0.043478260869565216,0.4782608695652174,-0.13530201829834768,0.0,0.5789473684210527,0.4782608695652174,0.41025641025641024,0.4358974358974359,0.4782608695652173,0.40764318885448914,0.2500805161850192,-0.47425225663283244,-0.18685269456163622
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,92,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.5039682539682538,0.33772614872844253,0.22415484927367677,-0.7616081671022781,-0.04509719647401785
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__092,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.5862068965517242,0.5446627525880892,0.27964932424769895,1.8402855458683385,2.210511092149535
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__092,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4307065217391304,0.3944377990430622,0.2636747406982295,-1.3043918790746607,-0.9921575150812167
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,93,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.5095899470899471,0.35594644317875734,0.2210767948438826,-0.8197864519395924,-0.11845502667974407
